,Coach,Team,numSznsWTeam,numTotSzns,curr_games,curr_wins,curr_losses,franch_games,franch_wins,franch_losses,tot_games,tot_wins,tot_losses,win_percent,curr_pl_games,curr_pl_wins,curr_pl_losses,franch_pl_games,franch_pl_wins,franch_pl_losses,tot_pl_games,tot_pl_wins,tot_pl_losses,Season
74,Magic Johnson,LAL,1,1,16,5,11,16,5,11,16,5,11,0.313,,,,,,,,,,1993
75,Kevin Loughery,MIA,3,19,82,42,40,246,116,130,1342,625,717,0.466,5.0,2.0,3.0,8.0,2.0,6.0,59.0,27.0,32.0,1993
76,Mike Dunleavy,MIL,2,4,82,20,62,164,48,116,328,149,179,0.45399999999999996,,,,,,,23.0,13.0,10.0,1993
77,Sidney Lowe,MIN,2,2,82,20,62,135,33,102,135,33,102,0.244,,,,,,,,,,1993
78,Chuck Daly,NJN,2,12,82,45,37,164,88,76,943,564,379,0.598,4.0,1.0,3.0,9.0,3.0,6.0,122.0,74.0,48.0,1993
79,Pat Riley,NYK,3,12,82,57,25,246,168,78,973,701,272,0.72,25.0,14.0,11.0,52.0,29.0,23.0,201.0,131.0,70.0,1993
80,Brian Hill,ORL,1,1,82,50,32,82,50,32,82,50,32,0.61,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1993
81,Fred Carter,PHI,2,2,82,25,57,108,32,76,108,32,76,0.29600000000000004,,,,,,,,,,1993
82,Paul Westphal,PHO,2,2,82,56,26,164,118,46,164,118,46,0.72,10.0,6.0,4.0,34.0,19.0,15.0,34.0,19.0,15.0,1993
83,Rick Adelman,POR,6,6,82,47,35,445,291,154,445,291,154,0.654,4.0,1.0,3.0,69.0,36.0,33.0,69.0,36.0,33.0,1993
84,Garry St. Jean,SAC,2,2,82,28,54,164,53,111,164,53,111,0.32299999999999995,,,,,,,,,,1993
85,John Lucas,SAS,2,2,82,55,27,143,94,49,143,94,49,0.657,4.0,1.0,3.0,14.0,6.0,8.0,14.0,6.0,8.0,1993
86,George Karl,SEA,3,7,82,63,19,206,145,61,501,264,237,0.527,5.0,2.0,3.0,33.0,16.0,17.0,47.0,21.0,26.0,1993
87,Jerry Sloan,UTA,6,9,82,53,29,475,304,171,690,398,292,0.5770000000000001,16.0,8.0,8.0,54.0,25.0,29.0,60.0,27.0,33.0,1993
88,Wes Unseld,WSB,7,7,82,24,58,547,202,345,547,202,345,0.369,,,,5.0,2.0,3.0,5.0,2.0,3.0,1993
89,Lenny Wilkens,ATL,6,26,50,31,19,460,282,178,2078,1151,927,0.5539999999999999,9.0,3.0,6.0,47.0,17.0,30.0,157.0,72.0,85.0,1998
90,Rick Pitino,BOS,2,4,50,19,31,132,55,77,296,145,151,0.49,,,,,,,13.0,6.0,7.0,1998
91,Dave Cowens,CHH,3,4,15,4,11,179,109,70,247,136,111,0.551,,,,12.0,4.0,8.0,12.0,4.0,8.0,1998
92,Paul Silas,CHH,1,4,35,22,13,35,22,13,281,100,181,0.35600000000000004,,,,,,,,,,1998
93,Tim Floyd,CHI,1,1,50,13,37,50,13,37,50,13,37,0.26,,,,,,,,,,1998
94,Mike Fratello,CLE,6,14,50,22,28,460,248,212,1037,572,465,0.552,,,,14.0,2.0,12.0,54.0,20.0,34.0,1998
95,Don Nelson,DAL,2,21,50,19,31,116,35,81,1596,886,710,0.555,,,,,,,112.0,51.0,61.0,1998
96,Mike D'Antoni,DEN,1,1,50,14,36,50,14,36,50,14,36,0.28,,,,,,,,,,1998
97,Alvin Gentry,DET,2,3,50,29,21,87,45,42,123,60,63,0.488,5.0,2.0,3.0,5.0,2.0,3.0,5.0,2.0,3.0,1998
98,P.J. Carlesimo,GSW,2,5,50,21,29,132,40,92,378,177,201,0.46799999999999997,,,,,,,12.0,3.0,9.0,1998
99,Rudy Tomjanovich,HOU,8,8,50,31,19,572,353,219,572,353,219,0.617,4.0,1.0,3.0,90.0,51.0,39.0,90.0,51.0,39.0,1998
100,Larry Bird,IND,2,2,50,33,17,132,91,41,132,91,41,0.6890000000000001,13.0,9.0,4.0,29.0,19.0,10.0,29.0,19.0,10.0,1998
101,Chris Ford,LAC,1,8,50,9,41,50,9,41,624,300,324,0.48100000000000004,,,,,,,29.0,13.0,16.0,1998
102,Del Harris,LAL,5,14,12,6,6,340,224,116,1013,556,457,0.5489999999999999,,,,36.0,17.0,19.0,88.0,38.0,50.0,1998
103,Bill Bertka,LAL,2,2,1,1,0,3,2,1,3,2,1,0.667,,,,,,,,,,1998
104,Kurt Rambis,LAL,1,1,37,24,13,37,24,13,37,24,13,0.649,8.0,3.0,5.0,8.0,3.0,5.0,8.0,3.0,5.0,1998
105,Pat Riley,MIA,4,17,50,33,17,296,191,105,1351,947,404,0.701,5.0,2.0,3.0,30.0,12.0,18.0,242.0,149.0,93.0,1998
106,George Karl,MIL,1,12,50,28,22,50,28,22,879,531,348,0.604,3.0,0.0,3.0,3.0,0.0,3.0,97.0,45.0,52.0,1998
107,Flip Saunders,MIN,4,4,50,25,25,276,130,146,276,130,146,0.47100000000000003,4.0,1.0,3.0,12.0,3.0,9.0,12.0,3.0,9.0,1998
108,John Calipari,NJN,3,3,20,3,17,184,72,112,184,72,112,0.391,,,,3.0,0.0,3.0,3.0,0.0,3.0,1998
109,Don Casey,NJN,1,3,30,13,17,30,13,17,156,54,102,0.34600000000000003,,,,,,,,,,1998
110,Jeff Van Gundy,NYK,4,4,50,27,23,237,140,97,237,140,97,0.591,20.0,12.0,8.0,48.0,26.0,22.0,48.0,26.0,22.0,1998
111,Chuck Daly,ORL,2,14,50,33,17,132,74,58,1075,638,437,0.593,4.0,1.0,3.0,4.0,1.0,3.0,126.0,75.0,51.0,1998
112,Larry Brown,PHI,2,20,50,28,22,132,59,73,1572,912,660,0.58,8.0,3.0,5.0,8.0,3.0,5.0,133.0,64.0,69.0,1998
113,Danny Ainge,PHO,3,3,50,27,23,206,123,83,206,123,83,0.597,3.0,0.0,3.0,12.0,3.0,9.0,12.0,3.0,9.0,1998
114,Mike Dunleavy,POR,2,8,50,35,15,132,81,51,624,289,335,0.46299999999999997,13.0,7.0,6.0,17.0,8.0,9.0,40.0,21.0,19.0,1998
115,Rick Adelman,SAC,1,9,50,27,23,50,27,23,659,384,275,0.583,5.0,2.0,3.0,5.0,2.0,3.0,74.0,38.0,36.0,1998
116,Gregg Popovich,SAS,3,3,50,37,13,196,110,86,196,110,86,0.561,17.0,15.0,2.0,26.0,19.0,7.0,26.0,19.0,7.0,1998
117,Paul Westphal,SEA,1,5,50,25,25,50,25,25,329,216,113,0.657,,,,,,,44.0,25.0,19.0,1998
118,Butch Carter,TOR,2,2,50,23,27,83,28,55,83,28,55,0.337,,,,,,,,,,1998
119,Jerry Sloan,UTA,11,14,50,37,13,853,582,271,1068,676,392,0.633,11.0,5.0,6.0,128.0,68.0,60.0,134.0,70.0,64.0,1998
120,Brian Hill,VAN,2,6,50,8,42,132,27,105,427,218,209,0.511,,,,,,,36.0,18.0,18.0,1998
121,Bernie Bickerstaff,WAS,3,10,32,13,19,149,77,72,686,338,348,0.493,,,,3.0,0.0,3.0,33.0,12.0,21.0,1998
122,Jim Brovelli,WAS,1,1,18,5,13,18,5,13,18,5,13,0.278,,,,,,,,,,1998
123,Lloyd Pierce,ATL,1,1,82,29,53,82,29,53,82,29,53,0.354,,,,,,,,,,2018
124,Brad Stevens,BOS,6,6,82,49,33,492,270,222,492,270,222,0.5489999999999999,9.0,5.0,4.0,56.0,27.0,29.0,56.0,27.0,29.0,2018
125,Kenny Atkinson,BRK,3,3,82,42,40,246,90,156,246,90,156,0.366,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,2018
126,Fred Hoiberg,CHI,4,4,24,5,19,270,115,155,270,115,155,0.426,,,,6.0,2.0,4.0,6.0,2.0,4.0,2018
127,Jim Boylen,CHI,1,1,58,17,41,58,17,41,58,17,41,0.293,,,,,,,,,,2018
128,James Borrego,CHO,1,2,82,39,43,82,39,43,112,49,63,0.43799999999999994,,,,,,,,,,2018
129,Tyronn Lue,CLE,4,4,6,0,6,211,128,83,211,128,83,0.607,,,,61.0,41.0,20.0,61.0,41.0,20.0,2018
130,Larry Drew,CLE,1,5,76,19,57,76,19,57,388,162,226,0.418,,,,,,,24.0,10.0,14.0,2018
131,Rick Carlisle,DAL,11,17,82,33,49,886,470,416,1378,751,627,0.545,,,,58.0,28.0,30.0,120.0,58.0,62.0,2018
132,Mike Malone,DEN,4,6,82,54,28,328,173,155,434,212,222,0.488,14.0,7.0,7.0,14.0,7.0,7.0,14.0,7.0,7.0,2018
133,Dwane Casey,DET,1,10,82,41,41,82,41,41,762,414,348,0.5429999999999999,4.0,0.0,4.0,4.0,0.0,4.0,55.0,21.0,34.0,2018
134,Steve Kerr,GSW,5,5,82,57,25,410,322,88,410,322,88,0.785,22.0,14.0,8.0,105.0,77.0,28.0,105.0,77.0,28.0,2018
135,Mike D'Antoni,HOU,3,15,82,53,29,246,173,73,1127,628,499,0.557,11.0,6.0,5.0,39.0,23.0,16.0,98.0,49.0,49.0,2018
136,Nate McMillan,IND,3,15,82,48,34,246,138,108,1176,616,560,0.524,4.0,0.0,4.0,15.0,3.0,12.0,49.0,17.0,32.0,2018
137,Doc Rivers,LAC,6,20,82,48,34,492,307,185,1552,894,658,0.5760000000000001,6.0,2.0,4.0,46.0,20.0,26.0,167.0,84.0,83.0,2018
138,Luke Walton,LAL,3,3,82,37,45,246,98,148,246,98,148,0.39799999999999996,,,,,,,,,,2018
139,J.B. Bickerstaff,MEM,2,3,82,33,49,145,48,97,216,85,131,0.39399999999999996,,,,,,,5.0,1.0,4.0,2018
140,Erik Spoelstra,MIA,11,11,82,39,43,886,523,363,886,523,363,0.59,,,,118.0,71.0,47.0,118.0,71.0,47.0,2018
141,Mike Budenholzer,MIL,1,6,82,60,22,82,60,22,492,273,219,0.555,15.0,10.0,5.0,15.0,10.0,5.0,54.0,27.0,27.0,2018
142,Tom Thibodeau,MIN,3,8,40,19,21,204,97,107,598,352,246,0.589,,,,5.0,1.0,4.0,56.0,24.0,32.0,2018
143,Ryan Saunders,MIN,1,1,42,17,25,42,17,25,42,17,25,0.405,,,,,,,,,,2018
144,Alvin Gentry,NOP,4,16,82,33,49,328,145,183,1033,480,553,0.465,,,,9.0,5.0,4.0,30.0,17.0,13.0,2018
145,David Fizdale,NYK,1,3,82,17,65,82,17,65,183,67,116,0.366,,,,,,,6.0,2.0,4.0,2018
146,Billy Donovan,OKC,4,4,82,49,33,328,199,129,328,199,129,0.607,5.0,1.0,4.0,34.0,15.0,19.0,34.0,15.0,19.0,2018
147,Steve Clifford,ORL,1,6,82,42,40,82,42,40,492,238,254,0.484,5.0,1.0,4.0,5.0,1.0,4.0,16.0,4.0,12.0,2018
148,Brett Brown,PHI,6,6,82,51,31,492,178,314,492,178,314,0.36200000000000004,12.0,7.0,5.0,22.0,12.0,10.0,22.0,12.0,10.0,2018
149,Igor Kokoskov,PHO,1,1,82,19,63,82,19,63,82,19,63,0.23199999999999998,,,,,,,,,,2018
150,Terry Stotts,POR,7,11,82,53,29,574,325,249,857,440,417,0.513,16.0,8.0,8.0,51.0,19.0,32.0,56.0,20.0,36.0,2018
151,Dave Joerger,SAC,3,6,82,39,43,246,98,148,492,245,247,0.498,,,,,,,22.0,9.0,13.0,2018
152,Gregg Popovich,SAS,23,23,82,48,34,1820,1245,575,1820,1245,575,0.684,7.0,3.0,4.0,284.0,170.0,114.0,284.0,170.0,114.0,2018
153,Nick Nurse,TOR,1,1,82,58,24,82,58,24,82,58,24,0.7070000000000001,24.0,16.0,8.0,24.0,16.0,8.0,24.0,16.0,8.0,2018
154,Quin Snyder,UTA,5,5,82,50,32,410,227,183,410,227,183,0.5539999999999999,5.0,1.0,4.0,27.0,10.0,17.0,27.0,10.0,17.0,2018
155,Scott Brooks,WAS,3,10,82,32,50,246,124,122,791,462,329,0.584,,,,19.0,9.0,10.0,92.0,48.0,44.0,2018
156,Lenny Wilkens,ATL,5,25,82,50,32,410,251,159,2028,1120,908,0.552,4.0,1.0,3.0,38.0,14.0,24.0,148.0,69.0,79.0,1997
157,Rick Pitino,BOS,1,3,82,36,46,82,36,46,246,126,120,0.512,,,,,,,13.0,6.0,7.0,1997
158,Dave Cowens,CHH,2,3,82,51,31,164,105,59,232,132,100,0.569,9.0,4.0,5.0,12.0,4.0,8.0,12.0,4.0,8.0,1997
159,Phil Jackson,CHI,9,9,82,62,20,738,545,193,738,545,193,0.738,21.0,15.0,6.0,152.0,111.0,41.0,152.0,111.0,41.0,1997
160,Mike Fratello,CLE,5,13,82,47,35,410,226,184,987,550,437,0.557,4.0,1.0,3.0,14.0,2.0,12.0,54.0,20.0,34.0,1997
161,Jim Cleamons,DAL,2,2,16,4,12,98,28,70,98,28,70,0.28600000000000003,,,,,,,,,,1997
162,Don Nelson,DAL,1,20,66,16,50,66,16,50,1546,867,679,0.561,,,,,,,112.0,51.0,61.0,1997
163,Bill Hanzlik,DEN,1,1,82,11,71,82,11,71,82,11,71,0.134,,,,,,,,,,1997
164,Doug Collins,DET,3,6,45,21,24,209,121,88,455,258,197,0.5670000000000001,,,,8.0,2.0,6.0,38.0,15.0,23.0,1997
165,Alvin Gentry,DET,1,2,37,16,21,37,16,21,73,31,42,0.425,,,,,,,,,,1997
166,P.J. Carlesimo,GSW,1,4,82,19,63,82,19,63,328,156,172,0.47600000000000003,,,,,,,12.0,3.0,9.0,1997
167,Rudy Tomjanovich,HOU,7,7,82,41,41,522,322,200,522,322,200,0.617,5.0,2.0,3.0,86.0,50.0,36.0,86.0,50.0,36.0,1997
168,Larry Bird,IND,1,1,82,58,24,82,58,24,82,58,24,0.7070000000000001,16.0,10.0,6.0,16.0,10.0,6.0,16.0,10.0,6.0,1997
169,Bill Fitch,LAC,4,25,82,17,65,328,99,229,2050,944,1106,0.46,,,,3.0,0.0,3.0,109.0,55.0,54.0,1997
170,Del Harris,LAL,4,13,82,61,21,328,218,110,1001,550,451,0.5489999999999999,13.0,7.0,6.0,36.0,17.0,19.0,88.0,38.0,50.0,1997
171,Pat Riley,MIA,3,16,82,55,27,246,158,88,1301,914,387,0.703,5.0,2.0,3.0,25.0,10.0,15.0,237.0,147.0,90.0,1997
172,Chris Ford,MIL,2,7,82,36,46,164,69,95,574,291,283,0.507,,,,,,,29.0,13.0,16.0,1997
173,Flip Saunders,MIN,3,3,82,45,37,226,105,121,226,105,121,0.465,5.0,2.0,3.0,8.0,2.0,6.0,8.0,2.0,6.0,1997
174,John Calipari,NJN,2,2,82,43,39,164,69,95,164,69,95,0.42100000000000004,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1997
175,Jeff Van Gundy,NYK,3,3,82,43,39,187,113,74,187,113,74,0.604,10.0,4.0,6.0,28.0,14.0,14.0,28.0,14.0,14.0,1997
176,Chuck Daly,ORL,1,13,82,41,41,82,41,41,1025,605,420,0.59,,,,,,,122.0,74.0,48.0,1997
177,Larry Brown,PHI,1,19,82,31,51,82,31,51,1522,884,638,0.581,,,,,,,125.0,61.0,64.0,1997
178,Danny Ainge,PHO,2,2,82,56,26,156,96,60,156,96,60,0.615,4.0,1.0,3.0,9.0,3.0,6.0,9.0,3.0,6.0,1997
179,Mike Dunleavy,POR,1,7,82,46,36,82,46,36,574,254,320,0.44299999999999995,4.0,1.0,3.0,4.0,1.0,3.0,27.0,14.0,13.0,1997
180,Eddie Jordan,SAC,2,2,82,27,55,97,33,64,97,33,64,0.34,,,,,,,,,,1997
181,Gregg Popovich,SAS,2,2,82,56,26,146,73,73,146,73,73,0.5,9.0,4.0,5.0,9.0,4.0,5.0,9.0,4.0,5.0,1997
182,George Karl,SEA,7,11,82,61,21,534,384,150,829,503,326,0.607,10.0,4.0,6.0,80.0,40.0,40.0,94.0,45.0,49.0,1997
183,Darrell Walker,TOR,2,2,49,11,38,131,41,90,131,41,90,0.313,,,,,,,,,,1997
184,Butch Carter,TOR,1,1,33,5,28,33,5,28,33,5,28,0.152,,,,,,,,,,1997
185,Jerry Sloan,UTA,10,13,82,62,20,803,545,258,1018,639,379,0.628,20.0,13.0,7.0,117.0,63.0,54.0,123.0,65.0,58.0,1997
186,Brian Hill,VAN,1,5,82,19,63,82,19,63,377,210,167,0.557,,,,,,,36.0,18.0,18.0,1997
187,Bernie Bickerstaff,WAS,2,9,82,42,40,117,64,53,654,325,329,0.49700000000000005,,,,3.0,0.0,3.0,33.0,12.0,21.0,1997
188,Richie Guerin,ATL,5,5,82,48,34,372,207,165,372,207,165,0.556,11.0,5.0,6.0,40.0,19.0,21.0,40.0,19.0,21.0,1968
189,Gene Shue,BAL,3,3,82,57,25,220,109,111,220,109,111,0.495,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,1968
190,Bill Russell,BOS,3,3,82,48,34,245,162,83,245,162,83,0.6609999999999999,18.0,12.0,6.0,46.0,28.0,18.0,46.0,28.0,18.0,1968
191,Dick Motta,CHI,1,1,82,33,49,82,33,49,82,33,49,0.402,,,,,,,,,,1968
192,Ed Jucker,CIN,2,2,82,41,41,164,80,84,164,80,84,0.488,,,,,,,,,,1968
193,Donnie Butcher,DET,3,3,22,10,12,112,52,60,112,52,60,0.46399999999999997,,,,6.0,2.0,4.0,6.0,2.0,4.0,1968
194,Paul Seymour,DET,1,8,60,22,38,60,22,38,512,271,241,0.529,,,,,,,35.0,14.0,21.0,1968
195,Butch van Breda Kolff,LAL,2,2,82,55,27,164,107,57,164,107,57,0.652,18.0,11.0,7.0,33.0,21.0,12.0,33.0,21.0,12.0,1968
196,Larry Costello,MIL,1,1,82,27,55,82,27,55,82,27,55,0.32899999999999996,,,,,,,,,,1968
197,Red Holzman,NYK,2,6,82,54,28,126,82,44,329,165,164,0.502,10.0,6.0,4.0,16.0,8.0,8.0,24.0,12.0,12.0,1968
198,Jack Ramsay,PHI,1,1,82,55,27,82,55,27,82,55,27,0.6709999999999999,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,1968
199,Red Kerr,PHO,1,3,82,16,66,82,16,66,245,78,167,0.318,,,,,,,8.0,1.0,7.0,1968
200,Jack McMahon,SDR,2,7,82,37,45,164,52,112,523,251,272,0.48,6.0,2.0,4.0,6.0,2.0,4.0,29.0,10.0,19.0,1968
201,Al Bianchi,SEA,2,2,82,30,52,164,53,111,164,53,111,0.32299999999999995,,,,,,,,,,1968
202,George Lee,SFW,1,1,82,41,41,82,41,41,82,41,41,0.5,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,1968
203,Bob Weiss,ATL,3,5,82,43,39,246,124,122,410,183,227,0.446,3.0,0.0,3.0,8.0,2.0,6.0,11.0,2.0,9.0,1992
204,Chris Ford,BOS,3,3,82,48,34,246,155,91,246,155,91,0.63,4.0,1.0,3.0,25.0,12.0,13.0,25.0,12.0,13.0,1992
205,Allan Bristow,CHH,2,2,82,44,38,164,75,89,164,75,89,0.457,9.0,4.0,5.0,9.0,4.0,5.0,9.0,4.0,5.0,1992
206,Phil Jackson,CHI,4,4,82,57,25,328,240,88,328,240,88,0.732,19.0,15.0,4.0,74.0,55.0,19.0,74.0,55.0,19.0,1992
207,Lenny Wilkens,CLE,7,20,82,54,28,574,316,258,1618,869,749,0.537,9.0,3.0,6.0,41.0,18.0,23.0,110.0,55.0,55.0,1992
208,Richie Adubato,DAL,4,5,29,2,27,264,94,170,334,106,228,0.317,,,,3.0,0.0,3.0,3.0,0.0,3.0,1992
209,Gar Heard,DAL,1,1,53,9,44,53,9,44,53,9,44,0.17,,,,,,,,,,1992
210,Dan Issel,DEN,1,1,82,36,46,82,36,46,82,36,46,0.439,,,,,,,,,,1992
211,Ron Rothstein,DET,1,4,82,40,42,82,40,42,328,97,231,0.29600000000000004,,,,,,,,,,1992
212,Don Nelson,GSW,5,16,82,34,48,410,213,197,1294,753,541,0.5820000000000001,,,,21.0,9.0,12.0,109.0,51.0,58.0,1992
213,Rudy Tomjanovich,HOU,2,2,82,55,27,112,71,41,112,71,41,0.634,12.0,6.0,6.0,12.0,6.0,6.0,12.0,6.0,6.0,1992
214,Bob Hill,IND,3,4,82,41,41,221,113,108,287,133,154,0.46299999999999997,4.0,1.0,3.0,12.0,3.0,9.0,12.0,3.0,9.0,1992
215,Larry Brown,LAC,2,14,82,41,41,117,64,53,1112,663,449,0.596,5.0,2.0,3.0,10.0,4.0,6.0,87.0,39.0,48.0,1992
216,Randy Pfund,LAL,1,1,82,39,43,82,39,43,82,39,43,0.47600000000000003,5.0,2.0,3.0,5.0,2.0,3.0,5.0,2.0,3.0,1992
217,Kevin Loughery,MIA,2,18,82,36,46,164,74,90,1260,583,677,0.46299999999999997,,,,3.0,0.0,3.0,54.0,25.0,29.0,1992
218,Mike Dunleavy,MIL,1,3,82,28,54,82,28,54,246,129,117,0.524,,,,,,,23.0,13.0,10.0,1992
219,Jimmy Rodgers,MIN,2,4,29,6,23,111,21,90,275,115,160,0.418,,,,,,,8.0,2.0,6.0,1992
220,Sidney Lowe,MIN,1,1,53,13,40,53,13,40,53,13,40,0.245,,,,,,,,,,1992
221,Chuck Daly,NJN,1,11,82,43,39,82,43,39,861,519,342,0.603,5.0,2.0,3.0,5.0,2.0,3.0,118.0,73.0,45.0,1992
222,Pat Riley,NYK,2,11,82,60,22,164,111,53,891,644,247,0.723,15.0,9.0,6.0,27.0,15.0,12.0,176.0,117.0,59.0,1992
223,Matt Guokas,ORL,4,7,82,41,41,328,111,217,535,230,305,0.43,,,,,,,17.0,8.0,9.0,1992
224,Doug Moe,PHI,1,15,56,19,37,56,19,37,1157,628,529,0.5429999999999999,,,,,,,83.0,33.0,50.0,1992
225,Fred Carter,PHI,1,1,26,7,19,26,7,19,26,7,19,0.26899999999999996,,,,,,,,,,1992
226,Paul Westphal,PHO,1,1,82,62,20,82,62,20,82,62,20,0.7559999999999999,24.0,13.0,11.0,24.0,13.0,11.0,24.0,13.0,11.0,1992
227,Rick Adelman,POR,5,5,82,51,31,363,244,119,363,244,119,0.672,4.0,1.0,3.0,65.0,35.0,30.0,65.0,35.0,30.0,1992
228,Garry St. Jean,SAC,1,1,82,25,57,82,25,57,82,25,57,0.305,,,,,,,,,,1992
229,Jerry Tarkanian,SAS,1,1,20,9,11,20,9,11,20,9,11,0.45,,,,,,,,,,1992
230,Rex Hughes,SAS,1,2,1,1,0,1,1,0,58,23,35,0.397,,,,,,,,,,1992
231,John Lucas,SAS,1,1,61,39,22,61,39,22,61,39,22,0.639,10.0,5.0,5.0,10.0,5.0,5.0,10.0,5.0,5.0,1992
232,George Karl,SEA,2,6,82,55,27,124,82,42,419,201,218,0.48,19.0,10.0,9.0,28.0,14.0,14.0,42.0,19.0,23.0,1992
233,Jerry Sloan,UTA,5,8,82,47,35,393,251,142,608,345,263,0.5670000000000001,5.0,2.0,3.0,38.0,17.0,21.0,44.0,19.0,25.0,1992
234,Wes Unseld,WSB,6,6,82,22,60,465,178,287,465,178,287,0.38299999999999995,,,,5.0,2.0,3.0,5.0,2.0,3.0,1992
235,Mike Budenholzer,ATL,3,3,82,48,34,246,146,100,246,146,100,0.593,10.0,4.0,6.0,33.0,15.0,18.0,33.0,15.0,18.0,2015
236,Brad Stevens,BOS,3,3,82,48,34,246,113,133,246,113,133,0.45899999999999996,6.0,2.0,4.0,10.0,2.0,8.0,10.0,2.0,8.0,2015
237,Lionel Hollins,BRK,2,9,37,10,27,119,48,71,534,262,272,0.491,,,,6.0,2.0,4.0,41.0,20.0,21.0,2015
238,Tony Brown,BRK,1,1,45,11,34,45,11,34,45,11,34,0.244,,,,,,,,,,2015
239,Fred Hoiberg,CHI,1,1,82,42,40,82,42,40,82,42,40,0.512,,,,,,,,,,2015
240,Steve Clifford,CHO,3,3,82,48,34,246,124,122,246,124,122,0.504,7.0,3.0,4.0,11.0,3.0,8.0,11.0,3.0,8.0,2015
241,David Blatt,CLE,2,2,41,30,11,123,83,40,123,83,40,0.675,,,,20.0,14.0,6.0,20.0,14.0,6.0,2015
242,Tyronn Lue,CLE,1,1,41,27,14,41,27,14,41,27,14,0.659,21.0,16.0,5.0,21.0,16.0,5.0,21.0,16.0,5.0,2015
243,Rick Carlisle,DAL,8,14,82,42,40,640,380,260,1132,661,471,0.584,5.0,1.0,4.0,58.0,28.0,30.0,120.0,58.0,62.0,2015
244,Mike Malone,DEN,1,3,82,33,49,82,33,49,188,72,116,0.38299999999999995,,,,,,,,,,2015
245,Stan Van Gundy,DET,2,10,82,44,38,164,76,88,743,447,296,0.602,4.0,0.0,4.0,4.0,0.0,4.0,91.0,48.0,43.0,2015
246,Steve Kerr,GSW,2,2,82,73,9,164,140,24,164,140,24,0.8540000000000001,24.0,15.0,9.0,45.0,31.0,14.0,45.0,31.0,14.0,2015
247,Kevin McHale,HOU,5,7,11,4,7,323,193,130,417,232,185,0.556,,,,29.0,13.0,16.0,29.0,13.0,16.0,2015
248,J.B. Bickerstaff,HOU,1,1,71,37,34,71,37,34,71,37,34,0.521,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,2015
249,Frank Vogel,IND,6,6,82,45,37,431,250,181,431,250,181,0.58,7.0,3.0,4.0,61.0,31.0,30.0,61.0,31.0,30.0,2015
250,Doc Rivers,LAC,3,17,82,53,29,246,166,80,1306,753,553,0.5770000000000001,6.0,2.0,4.0,33.0,15.0,18.0,154.0,79.0,75.0,2015
251,Byron Scott,LAL,2,15,82,17,65,164,38,126,1101,454,647,0.41200000000000003,,,,,,,57.0,33.0,24.0,2015
252,Dave Joerger,MEM,3,3,82,42,40,246,147,99,246,147,99,0.598,4.0,0.0,4.0,22.0,9.0,13.0,22.0,9.0,13.0,2015
253,Erik Spoelstra,MIA,8,8,82,48,34,640,399,241,640,399,241,0.623,14.0,7.0,7.0,113.0,70.0,43.0,113.0,70.0,43.0,2015
254,Jason Kidd,MIL,2,3,82,33,49,164,74,90,246,118,128,0.48,,,,6.0,2.0,4.0,18.0,7.0,11.0,2015
255,Sam Mitchell,MIN,1,6,82,29,53,82,29,53,427,185,242,0.433,,,,,,,11.0,3.0,8.0,2015
256,Alvin Gentry,NOP,1,13,82,30,52,82,30,52,787,365,422,0.46399999999999997,,,,,,,21.0,12.0,9.0,2015
257,Derek Fisher,NYK,2,2,54,23,31,136,40,96,136,40,96,0.294,,,,,,,,,,2015
258,Kurt Rambis,NYK,1,4,28,9,19,28,9,19,229,65,164,0.284,,,,,,,8.0,3.0,5.0,2015
259,Billy Donovan,OKC,1,1,82,55,27,82,55,27,82,55,27,0.6709999999999999,18.0,11.0,7.0,18.0,11.0,7.0,18.0,11.0,7.0,2015
260,Scott Skiles,ORL,1,14,82,35,47,82,35,47,958,478,480,0.499,,,,,,,42.0,18.0,24.0,2015
261,Brett Brown,PHI,3,3,82,10,72,246,47,199,246,47,199,0.191,,,,,,,,,,2015
262,Jeff Hornacek,PHO,3,3,49,14,35,213,101,112,213,101,112,0.474,,,,,,,,,,2015
263,Earl Watson,PHO,1,1,33,9,24,33,9,24,33,9,24,0.273,,,,,,,,,,2015
264,Terry Stotts,POR,4,8,82,44,38,328,182,146,611,297,314,0.486,11.0,5.0,6.0,27.0,11.0,16.0,32.0,12.0,20.0,2015
265,George Karl,SAC,2,27,82,33,49,112,44,68,1999,1175,824,0.588,,,,,,,185.0,80.0,105.0,2015
266,Gregg Popovich,SAS,20,20,82,67,15,1574,1089,485,1574,1089,485,0.6920000000000001,10.0,6.0,4.0,256.0,158.0,98.0,256.0,158.0,98.0,2015
267,Dwane Casey,TOR,5,7,82,56,26,394,210,184,516,263,253,0.51,20.0,10.0,10.0,31.0,13.0,18.0,31.0,13.0,18.0,2015
268,Quin Snyder,UTA,2,2,82,40,42,164,78,86,164,78,86,0.47600000000000003,,,,,,,,,,2015
