,Unnamed: 0,Coach,Team,numSznsWTeam,numTotSzns,curr_games,curr_wins,curr_losses,franch_games,franch_wins,franch_losses,tot_games,tot_wins,tot_losses,win_percent,curr_pl_games,curr_pl_wins,curr_pl_losses,franch_pl_games,franch_pl_wins,franch_pl_losses,tot_pl_games,tot_pl_wins,tot_pl_losses,Season,pl_win_percent,Seasons
115,115,Rick Adelman,SAC,1,9,50,27,23,50,27,23,659,384,275,0.583,5.0,2.0,3.0,5.0,2.0,3.0,74.0,38.0,36.0,1998,0.4,1988-1998
116,116,Gregg Popovich,SAS,3,3,50,37,13,196,110,86,196,110,86,0.561,17.0,15.0,2.0,26.0,19.0,7.0,26.0,19.0,7.0,1998,0.8823529411764706,1988-1998
117,117,Paul Westphal,OKC,1,5,50,25,25,50,25,25,329,216,113,0.657,,,,,,,44.0,25.0,19.0,1998,,1988-1998
119,119,Jerry Sloan,UTA,11,14,50,37,13,853,582,271,1068,676,392,0.633,11.0,5.0,6.0,128.0,68.0,60.0,134.0,70.0,64.0,1998,0.45454545454545453,1988-1998
120,120,Brian Hill,MEM,2,6,50,8,42,132,27,105,427,218,209,0.511,,,,,,,36.0,18.0,18.0,1998,,1988-1998
121,121,Bernie Bickerstaff,WAS,3,10,32,13,19,149,77,72,686,338,348,0.493,,,,3.0,0.0,3.0,33.0,12.0,21.0,1998,,1988-1998
131,131,Rick Carlisle,DAL,11,17,82,33,49,886,470,416,1378,751,627,0.545,,,,58.0,28.0,30.0,120.0,58.0,62.0,2018,,2008-2018
133,133,Dwane Casey,DET,1,10,82,41,41,82,41,41,762,414,348,0.5429999999999999,4.0,0.0,4.0,4.0,0.0,4.0,55.0,21.0,34.0,2018,0.0,2008-2018
135,135,Mike D'Antoni,HOU,3,15,82,53,29,246,173,73,1127,628,499,0.557,11.0,6.0,5.0,39.0,23.0,16.0,98.0,49.0,49.0,2018,0.5454545454545454,2008-2018
136,136,Nate McMillan,IND,3,15,82,48,34,246,138,108,1176,616,560,0.524,4.0,0.0,4.0,15.0,3.0,12.0,49.0,17.0,32.0,2018,0.0,2008-2018
137,137,Doc Rivers,LAC,6,20,82,48,34,492,307,185,1552,894,658,0.5760000000000001,6.0,2.0,4.0,46.0,20.0,26.0,167.0,84.0,83.0,2018,0.3333333333333333,2008-2018
140,140,Erik Spoelstra,MIA,11,11,82,39,43,886,523,363,886,523,363,0.59,,,,118.0,71.0,47.0,118.0,71.0,47.0,2018,,2008-2018
142,142,Tom Thibodeau,MIN,3,8,40,19,21,204,97,107,598,352,246,0.589,,,,5.0,1.0,4.0,56.0,24.0,32.0,2018,,2008-2018
144,144,Alvin Gentry,NOP,4,16,82,33,49,328,145,183,1033,480,553,0.465,,,,9.0,5.0,4.0,30.0,17.0,13.0,2018,,2008-2018
150,150,Terry Stotts,POR,7,11,82,53,29,574,325,249,857,440,417,0.513,16.0,8.0,8.0,51.0,19.0,32.0,56.0,20.0,36.0,2018,0.5,2008-2018
152,152,Gregg Popovich,SAS,23,23,82,48,34,1820,1245,575,1820,1245,575,0.684,7.0,3.0,4.0,284.0,170.0,114.0,284.0,170.0,114.0,2018,0.42857142857142855,2008-2018
155,155,Scott Brooks,WAS,3,10,82,32,50,246,124,122,791,462,329,0.584,,,,19.0,9.0,10.0,92.0,48.0,44.0,2018,,2008-2018
156,156,Lenny Wilkens,ATL,5,25,82,50,32,410,251,159,2028,1120,908,0.552,4.0,1.0,3.0,38.0,14.0,24.0,148.0,69.0,79.0,1997,0.25,1988-1998
159,159,Phil Jackson,CHI,9,9,82,62,20,738,545,193,738,545,193,0.738,21.0,15.0,6.0,152.0,111.0,41.0,152.0,111.0,41.0,1997,0.7142857142857143,1988-1998
160,160,Mike Fratello,CLE,5,13,82,47,35,410,226,184,987,550,437,0.557,4.0,1.0,3.0,14.0,2.0,12.0,54.0,20.0,34.0,1997,0.25,1988-1998
162,162,Don Nelson,DAL,1,20,66,16,50,66,16,50,1546,867,679,0.561,,,,,,,112.0,51.0,61.0,1997,,1988-1998
164,164,Doug Collins,DET,3,6,45,21,24,209,121,88,455,258,197,0.5670000000000001,,,,8.0,2.0,6.0,38.0,15.0,23.0,1997,,1988-1998
165,165,Alvin Gentry,DET,1,2,37,16,21,37,16,21,73,31,42,0.425,,,,,,,,,,1997,,1988-1998
166,166,P.J. Carlesimo,GSW,1,4,82,19,63,82,19,63,328,156,172,0.476,,,,,,,12.0,3.0,9.0,1997,,1988-1998
167,167,Rudy Tomjanovich,HOU,7,7,82,41,41,522,322,200,522,322,200,0.617,5.0,2.0,3.0,86.0,50.0,36.0,86.0,50.0,36.0,1997,0.4,1988-1998
169,169,Bill Fitch,LAC,4,25,82,17,65,328,99,229,2050,944,1106,0.46,,,,3.0,0.0,3.0,109.0,55.0,54.0,1997,,1988-1998
170,170,Del Harris,LAL,4,13,82,61,21,328,218,110,1001,550,451,0.5489999999999999,13.0,7.0,6.0,36.0,17.0,19.0,88.0,38.0,50.0,1997,0.5384615384615384,1988-1998
171,171,Pat Riley,MIA,3,16,82,55,27,246,158,88,1301,914,387,0.703,5.0,2.0,3.0,25.0,10.0,15.0,237.0,147.0,90.0,1997,0.4,1988-1998
172,172,Chris Ford,MIL,2,7,82,36,46,164,69,95,574,291,283,0.507,,,,,,,29.0,13.0,16.0,1997,,1988-1998
173,173,Flip Saunders,MIN,3,3,82,45,37,226,105,121,226,105,121,0.465,5.0,2.0,3.0,8.0,2.0,6.0,8.0,2.0,6.0,1997,0.4,1988-1998
175,175,Jeff Van Gundy,NYK,3,3,82,43,39,187,113,74,187,113,74,0.604,10.0,4.0,6.0,28.0,14.0,14.0,28.0,14.0,14.0,1997,0.4,1988-1998
176,176,Chuck Daly,ORL,1,13,82,41,41,82,41,41,1025,605,420,0.59,,,,,,,122.0,74.0,48.0,1997,,1988-1998
177,177,Larry Brown,PHI,1,19,82,31,51,82,31,51,1522,884,638,0.581,,,,,,,125.0,61.0,64.0,1997,,1988-1998
179,179,Mike Dunleavy,POR,1,7,82,46,36,82,46,36,574,254,320,0.443,4.0,1.0,3.0,4.0,1.0,3.0,27.0,14.0,13.0,1997,0.25,1988-1998
180,180,Eddie Jordan,SAC,2,2,82,27,55,97,33,64,97,33,64,0.34,,,,,,,,,,1997,,1988-1998
181,181,Gregg Popovich,SAS,2,2,82,56,26,146,73,73,146,73,73,0.5,9.0,4.0,5.0,9.0,4.0,5.0,9.0,4.0,5.0,1997,0.4444444444444444,1988-1998
182,182,George Karl,OKC,7,11,82,61,21,534,384,150,829,503,326,0.607,10.0,4.0,6.0,80.0,40.0,40.0,94.0,45.0,49.0,1997,0.4,1988-1998
185,185,Jerry Sloan,UTA,10,13,82,62,20,803,545,258,1018,639,379,0.628,20.0,13.0,7.0,117.0,63.0,54.0,123.0,65.0,58.0,1997,0.65,1988-1998
186,186,Brian Hill,MEM,1,5,82,19,63,82,19,63,377,210,167,0.557,,,,,,,36.0,18.0,18.0,1997,,1988-1998
187,187,Bernie Bickerstaff,WAS,2,9,82,42,40,117,64,53,654,325,329,0.4970000000000001,,,,3.0,0.0,3.0,33.0,12.0,21.0,1997,,1988-1998
188,188,Richie Guerin,ATL,5,5,82,48,34,372,207,165,372,207,165,0.556,11.0,5.0,6.0,40.0,19.0,21.0,40.0,19.0,21.0,1968,0.45454545454545453,1959-69
189,189,Gene Shue,WAS,3,3,82,57,25,220,109,111,220,109,111,0.495,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,1968,0.0,1959-69
190,190,Bill Russell,BOS,3,3,82,48,34,245,162,83,245,162,83,0.6609999999999999,18.0,12.0,6.0,46.0,28.0,18.0,46.0,28.0,18.0,1968,0.6666666666666666,1959-69
191,191,Dick Motta,CHI,1,1,82,33,49,82,33,49,82,33,49,0.402,,,,,,,,,,1968,,1959-69
194,194,Paul Seymour,DET,1,8,60,22,38,60,22,38,512,271,241,0.529,,,,,,,35.0,14.0,21.0,1968,,1959-69
195,195,Butch van Breda Kolff,LAL,2,2,82,55,27,164,107,57,164,107,57,0.652,18.0,11.0,7.0,33.0,21.0,12.0,33.0,21.0,12.0,1968,0.6111111111111112,1959-69
196,196,Larry Costello,MIL,1,1,82,27,55,82,27,55,82,27,55,0.329,,,,,,,,,,1968,,1959-69
197,197,Red Holzman,NYK,2,6,82,54,28,126,82,44,329,165,164,0.502,10.0,6.0,4.0,16.0,8.0,8.0,24.0,12.0,12.0,1968,0.6,1959-69
198,198,Jack Ramsay,PHI,1,1,82,55,27,82,55,27,82,55,27,0.6709999999999999,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,1968,0.2,1959-69
200,200,Jack McMahon,HOU,2,7,82,37,45,164,52,112,523,251,272,0.48,6.0,2.0,4.0,6.0,2.0,4.0,29.0,10.0,19.0,1968,0.3333333333333333,1959-69
204,204,Chris Ford,BOS,3,3,82,48,34,246,155,91,246,155,91,0.63,4.0,1.0,3.0,25.0,12.0,13.0,25.0,12.0,13.0,1992,0.25,1988-1998
206,206,Phil Jackson,CHI,4,4,82,57,25,328,240,88,328,240,88,0.732,19.0,15.0,4.0,74.0,55.0,19.0,74.0,55.0,19.0,1992,0.7894736842105263,1988-1998
207,207,Lenny Wilkens,CLE,7,20,82,54,28,574,316,258,1618,869,749,0.537,9.0,3.0,6.0,41.0,18.0,23.0,110.0,55.0,55.0,1992,0.3333333333333333,1988-1998
212,212,Don Nelson,GSW,5,16,82,34,48,410,213,197,1294,753,541,0.5820000000000001,,,,21.0,9.0,12.0,109.0,51.0,58.0,1992,,1988-1998
213,213,Rudy Tomjanovich,HOU,2,2,82,55,27,112,71,41,112,71,41,0.634,12.0,6.0,6.0,12.0,6.0,6.0,12.0,6.0,6.0,1992,0.5,1988-1998
214,214,Bob Hill,IND,3,4,82,41,41,221,113,108,287,133,154,0.463,4.0,1.0,3.0,12.0,3.0,9.0,12.0,3.0,9.0,1992,0.25,1988-1998
215,215,Larry Brown,LAC,2,14,82,41,41,117,64,53,1112,663,449,0.596,5.0,2.0,3.0,10.0,4.0,6.0,87.0,39.0,48.0,1992,0.4,1988-1998
217,217,Kevin Loughery,MIA,2,18,82,36,46,164,74,90,1260,583,677,0.463,,,,3.0,0.0,3.0,54.0,25.0,29.0,1992,,1988-1998
218,218,Mike Dunleavy,MIL,1,3,82,28,54,82,28,54,246,129,117,0.524,,,,,,,23.0,13.0,10.0,1992,,1988-1998
221,221,Chuck Daly,BRK,1,11,82,43,39,82,43,39,861,519,342,0.603,5.0,2.0,3.0,5.0,2.0,3.0,118.0,73.0,45.0,1992,0.4,1988-1998
222,222,Pat Riley,NYK,2,11,82,60,22,164,111,53,891,644,247,0.723,15.0,9.0,6.0,27.0,15.0,12.0,176.0,117.0,59.0,1992,0.6,1988-1998
224,224,Doug Moe,PHI,1,15,56,19,37,56,19,37,1157,628,529,0.5429999999999999,,,,,,,83.0,33.0,50.0,1992,,1988-1998
226,226,Paul Westphal,PHO,1,1,82,62,20,82,62,20,82,62,20,0.7559999999999999,24.0,13.0,11.0,24.0,13.0,11.0,24.0,13.0,11.0,1992,0.5416666666666666,1988-1998
227,227,Rick Adelman,POR,5,5,82,51,31,363,244,119,363,244,119,0.672,4.0,1.0,3.0,65.0,35.0,30.0,65.0,35.0,30.0,1992,0.25,1988-1998
232,232,George Karl,OKC,2,6,82,55,27,124,82,42,419,201,218,0.48,19.0,10.0,9.0,28.0,14.0,14.0,42.0,19.0,23.0,1992,0.5263157894736842,1988-1998
233,233,Jerry Sloan,UTA,5,8,82,47,35,393,251,142,608,345,263,0.5670000000000001,5.0,2.0,3.0,38.0,17.0,21.0,44.0,19.0,25.0,1992,0.4,1988-1998
237,237,Lionel Hollins,BRK,2,9,37,10,27,119,48,71,534,262,272,0.491,,,,6.0,2.0,4.0,41.0,20.0,21.0,2015,,2008-2018
243,243,Rick Carlisle,DAL,8,14,82,42,40,640,380,260,1132,661,471,0.584,5.0,1.0,4.0,58.0,28.0,30.0,120.0,58.0,62.0,2015,0.2,2008-2018
245,245,Stan Van Gundy,DET,2,10,82,44,38,164,76,88,743,447,296,0.602,4.0,0.0,4.0,4.0,0.0,4.0,91.0,48.0,43.0,2015,0.0,2008-2018
249,249,Frank Vogel,IND,6,6,82,45,37,431,250,181,431,250,181,0.58,7.0,3.0,4.0,61.0,31.0,30.0,61.0,31.0,30.0,2015,0.42857142857142855,2008-2018
250,250,Doc Rivers,LAC,3,17,82,53,29,246,166,80,1306,753,553,0.5770000000000001,6.0,2.0,4.0,33.0,15.0,18.0,154.0,79.0,75.0,2015,0.3333333333333333,2008-2018
251,251,Byron Scott,LAL,2,15,82,17,65,164,38,126,1101,454,647,0.412,,,,,,,57.0,33.0,24.0,2015,,2008-2018
253,253,Erik Spoelstra,MIA,8,8,82,48,34,640,399,241,640,399,241,0.623,14.0,7.0,7.0,113.0,70.0,43.0,113.0,70.0,43.0,2015,0.5,2008-2018
256,256,Alvin Gentry,NOP,1,13,82,30,52,82,30,52,787,365,422,0.464,,,,,,,21.0,12.0,9.0,2015,,2008-2018
260,260,Scott Skiles,ORL,1,14,82,35,47,82,35,47,958,478,480,0.499,,,,,,,42.0,18.0,24.0,2015,,2008-2018
264,264,Terry Stotts,POR,4,8,82,44,38,328,182,146,611,297,314,0.486,11.0,5.0,6.0,27.0,11.0,16.0,32.0,12.0,20.0,2015,0.45454545454545453,2008-2018
265,265,George Karl,SAC,2,27,82,33,49,112,44,68,1999,1175,824,0.588,,,,,,,185.0,80.0,105.0,2015,,2008-2018
266,266,Gregg Popovich,SAS,20,20,82,67,15,1574,1089,485,1574,1089,485,0.6920000000000001,10.0,6.0,4.0,256.0,158.0,98.0,256.0,158.0,98.0,2015,0.6,2008-2018
267,267,Dwane Casey,TOR,5,7,82,56,26,394,210,184,516,263,253,0.51,20.0,10.0,10.0,31.0,13.0,18.0,31.0,13.0,18.0,2015,0.5,2008-2018
269,269,Randy Wittman,WAS,5,10,82,41,41,377,178,199,684,278,406,0.406,,,,21.0,12.0,9.0,21.0,12.0,9.0,2015,,2008-2018
270,270,Red Auerbach,BOS,12,16,80,60,20,872,562,310,1097,705,392,0.643,14.0,8.0,6.0,96.0,55.0,41.0,116.0,64.0,52.0,1961,0.5714285714285714,1959-69
277,277,Paul Seymour,ATL,2,6,14,5,9,93,56,37,372,211,161,0.5670000000000001,,,,12.0,5.0,7.0,32.0,14.0,18.0,1961,,1959-69
280,280,Alex Hannum,PHI,2,4,80,41,39,159,79,80,262,135,127,0.515,5.0,2.0,3.0,13.0,6.0,7.0,34.0,20.0,14.0,1961,0.4,1959-69
287,287,Rick Carlisle,DAL,9,15,82,33,49,722,413,309,1214,694,520,0.5720000000000001,,,,58.0,28.0,30.0,120.0,58.0,62.0,2016,,2008-2018
289,289,Stan Van Gundy,DET,3,11,82,37,45,246,113,133,825,484,341,0.5870000000000001,,,,4.0,0.0,4.0,91.0,48.0,43.0,2016,,2008-2018
291,291,Mike D'Antoni,HOU,1,13,82,55,27,82,55,27,963,510,453,0.53,11.0,6.0,5.0,11.0,6.0,5.0,70.0,32.0,38.0,2016,0.5454545454545454,2008-2018
292,292,Nate McMillan,IND,1,13,82,42,40,82,42,40,1012,520,492,0.514,4.0,0.0,4.0,4.0,0.0,4.0,38.0,14.0,24.0,2016,0.0,2008-2018
293,293,Doc Rivers,LAC,4,18,82,51,31,328,217,111,1388,804,584,0.579,7.0,3.0,4.0,40.0,18.0,22.0,161.0,82.0,79.0,2016,0.42857142857142855,2008-2018
296,296,Erik Spoelstra,MIA,9,9,82,41,41,722,440,282,722,440,282,0.609,,,,113.0,70.0,43.0,113.0,70.0,43.0,2016,,2008-2018
298,298,Tom Thibodeau,MIN,1,6,82,31,51,82,31,51,476,286,190,0.601,,,,,,,51.0,23.0,28.0,2016,,2008-2018
299,299,Alvin Gentry,NOP,2,14,82,34,48,164,64,100,869,399,470,0.459,,,,,,,21.0,12.0,9.0,2016,,2008-2018
302,302,Frank Vogel,ORL,1,7,82,29,53,82,29,53,513,279,234,0.544,,,,,,,61.0,31.0,30.0,2016,,2008-2018
305,305,Terry Stotts,POR,5,9,82,41,41,410,223,187,693,338,355,0.488,4.0,0.0,4.0,31.0,11.0,20.0,36.0,12.0,24.0,2016,0.0,2008-2018
307,307,Gregg Popovich,SAS,21,21,82,61,21,1656,1150,506,1656,1150,506,0.6940000000000001,16.0,8.0,8.0,272.0,166.0,106.0,272.0,166.0,106.0,2016,0.5,2008-2018
308,308,Dwane Casey,TOR,6,8,82,51,31,476,261,215,598,314,284,0.525,10.0,4.0,6.0,41.0,17.0,24.0,41.0,17.0,24.0,2016,0.4,2008-2018
310,310,Scott Brooks,WAS,1,8,82,49,33,82,49,33,627,387,240,0.617,13.0,7.0,6.0,13.0,7.0,6.0,86.0,46.0,40.0,2016,0.5384615384615384,2008-2018
311,311,Red Auerbach,BOS,8,12,72,49,23,566,334,232,791,477,314,0.603,11.0,6.0,5.0,48.0,23.0,25.0,68.0,32.0,36.0,1957,0.5454545454545454,1950-59
316,316,John Kundla,LAL,10,10,33,10,23,653,390,263,653,390,263,0.597,,,,82.0,54.0,28.0,82.0,54.0,28.0,1957,,1950-59
319,319,Alex Hannum,ATL,2,2,72,41,31,103,56,47,103,56,47,0.544,11.0,8.0,3.0,21.0,14.0,7.0,21.0,14.0,7.0,1957,0.7272727272727273,1950-59
320,320,Paul Seymour,PHI,2,2,72,41,31,132,75,57,132,75,57,0.568,3.0,1.0,2.0,8.0,3.0,5.0,8.0,3.0,5.0,1957,0.3333333333333333,1950-59
321,321,Mike Fratello,ATL,8,8,82,41,41,577,324,253,577,324,253,0.562,,,,40.0,18.0,22.0,40.0,18.0,22.0,1989,,1988-1998
325,325,Phil Jackson,CHI,1,1,82,55,27,82,55,27,82,55,27,0.6709999999999999,16.0,10.0,6.0,16.0,10.0,6.0,16.0,10.0,6.0,1989,0.625,1988-1998
326,326,Lenny Wilkens,CLE,4,17,82,42,40,328,172,156,1372,725,647,0.528,5.0,2.0,3.0,15.0,6.0,9.0,84.0,43.0,41.0,1989,0.4,1988-1998
327,327,John MacLeod,DAL,3,17,11,5,6,175,96,79,1297,675,622,0.52,,,,17.0,10.0,7.0,98.0,47.0,51.0,1989,,1988-1998
329,329,Doug Moe,DEN,10,14,82,43,39,789,432,357,1101,609,492,0.5529999999999999,3.0,0.0,3.0,61.0,24.0,37.0,83.0,33.0,50.0,1989,0.0,1988-1998
330,330,Chuck Daly,DET,7,8,82,59,23,574,369,205,615,378,237,0.615,20.0,15.0,5.0,93.0,62.0,31.0,93.0,62.0,31.0,1989,0.75,1988-1998
331,331,Don Nelson,GSW,2,13,82,37,45,164,80,84,1048,620,428,0.5920000000000001,,,,8.0,4.0,4.0,96.0,46.0,50.0,1989,,1988-1998
332,332,Don Chaney,HOU,2,5,82,41,41,164,86,78,349,139,210,0.398,4.0,1.0,3.0,8.0,2.0,6.0,8.0,2.0,6.0,1989,0.25,1988-1998
335,335,Pat Riley,LAL,9,9,82,63,19,727,533,194,727,533,194,0.733,9.0,4.0,5.0,149.0,102.0,47.0,149.0,102.0,47.0,1989,0.4444444444444444,1988-1998
337,337,Del Harris,MIL,3,7,82,44,38,246,135,111,574,276,298,0.481,4.0,1.0,3.0,18.0,6.0,12.0,49.0,21.0,28.0,1989,0.25,1988-1998
339,339,Bill Fitch,BRK,1,19,82,17,65,82,17,65,1558,779,779,0.5,,,,,,,102.0,54.0,48.0,1989,,1988-1998
342,342,Jim Lynam,PHI,3,5,82,53,29,203,115,88,346,167,179,0.483,10.0,4.0,6.0,13.0,4.0,9.0,13.0,4.0,9.0,1989,0.4,1988-1998
343,343,Cotton Fitzsimmons,PHO,4,17,82,54,28,328,206,122,1386,697,689,0.503,16.0,9.0,7.0,28.0,16.0,12.0,68.0,29.0,39.0,1989,0.5625,1988-1998
344,344,Rick Adelman,POR,2,2,82,59,23,117,73,44,117,73,44,0.624,21.0,12.0,9.0,24.0,12.0,12.0,24.0,12.0,12.0,1989,0.5714285714285714,1988-1998
346,346,Dick Motta,SAC,1,20,54,16,38,54,16,38,1612,824,788,0.511,,,,,,,126.0,56.0,70.0,1989,,1988-1998
347,347,Larry Brown,SAS,2,11,82,56,26,164,77,87,875,523,352,0.598,10.0,6.0,4.0,10.0,6.0,4.0,73.0,34.0,39.0,1989,0.6,1988-1998
348,348,Bernie Bickerstaff,OKC,5,5,82,41,41,410,202,208,410,202,208,0.493,,,,27.0,12.0,15.0,27.0,12.0,15.0,1989,,1988-1998
349,349,Jerry Sloan,UTA,2,5,82,55,27,147,95,52,362,189,173,0.522,5.0,2.0,3.0,8.0,2.0,6.0,14.0,4.0,10.0,1989,0.4,1988-1998
351,351,Mike Fratello,ATL,5,5,82,57,25,331,181,150,331,181,150,0.547,9.0,4.0,5.0,23.0,10.0,13.0,23.0,10.0,13.0,1986,0.4444444444444444,1979-1988
352,352,K.C. Jones,BOS,4,8,82,59,23,328,251,77,658,436,222,0.6629999999999999,23.0,13.0,10.0,85.0,56.0,29.0,120.0,70.0,50.0,1986,0.5652173913043478,1979-1988
353,353,Doug Collins,CHI,1,1,82,40,42,82,40,42,82,40,42,0.488,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1986,0.0,1979-1988
354,354,Lenny Wilkens,CLE,1,14,82,31,51,82,31,51,1126,584,542,0.519,,,,,,,69.0,37.0,32.0,1986,,1979-1988
355,355,Dick Motta,DAL,7,19,82,55,27,574,267,307,1558,808,750,0.519,4.0,1.0,3.0,28.0,11.0,17.0,126.0,56.0,70.0,1986,0.25,1979-1988
356,356,Doug Moe,DEN,7,11,82,37,45,543,291,252,855,468,387,0.547,3.0,0.0,3.0,44.0,19.0,25.0,66.0,28.0,38.0,1986,0.0,1979-1988
357,357,Chuck Daly,DET,4,5,82,52,30,328,193,135,369,202,167,0.547,15.0,10.0,5.0,33.0,18.0,15.0,33.0,18.0,15.0,1986,0.6666666666666666,1979-1988
358,358,George Karl,GSW,1,3,82,42,40,82,42,40,231,103,128,0.446,10.0,4.0,6.0,10.0,4.0,6.0,14.0,5.0,9.0,1986,0.4,1979-1988
359,359,Bill Fitch,HOU,4,17,82,42,40,328,170,158,1394,716,678,0.514,10.0,5.0,5.0,35.0,20.0,15.0,98.0,53.0,45.0,1986,0.5,1979-1988
360,360,Jack Ramsay,IND,1,19,82,41,41,82,41,41,1558,826,732,0.53,4.0,1.0,3.0,4.0,1.0,3.0,102.0,44.0,58.0,1986,0.25,1979-1988
361,361,Don Chaney,LAC,3,3,82,12,70,185,53,132,185,53,132,0.28600000000000003,,,,,,,,,,1986,,1979-1988
362,362,Pat Riley,LAL,6,6,82,65,17,481,351,130,481,351,130,0.73,18.0,15.0,3.0,101.0,72.0,29.0,101.0,72.0,29.0,1986,0.8333333333333334,1979-1988
363,363,Don Nelson,MIL,11,11,82,50,32,884,540,344,884,540,344,0.611,12.0,6.0,6.0,88.0,42.0,46.0,88.0,42.0,46.0,1986,0.5,1979-1988
365,365,Hubie Brown,NYK,5,12,16,4,12,344,142,202,919,445,474,0.484,,,,18.0,8.0,10.0,59.0,31.0,28.0,1986,,1979-1988
366,366,Bob Hill,NYK,1,1,66,20,46,66,20,46,66,20,46,0.303,,,,,,,,,,1986,,1979-1988
368,368,John MacLeod,PHO,14,14,56,22,34,1122,579,543,1122,579,543,0.516,,,,81.0,37.0,44.0,81.0,37.0,44.0,1986,,1979-1988
371,371,Phil Johnson,SAC,8,9,46,14,32,542,236,306,543,236,307,0.435,,,,9.0,2.0,7.0,9.0,2.0,7.0,1986,,1979-1988
374,374,Bernie Bickerstaff,OKC,2,2,82,39,43,164,70,94,164,70,94,0.4270000000000001,14.0,7.0,7.0,14.0,7.0,7.0,14.0,7.0,7.0,1986,0.5,1979-1988
375,375,Frank Layden,UTA,6,6,82,44,38,472,219,253,472,219,253,0.464,5.0,2.0,3.0,30.0,12.0,18.0,30.0,12.0,18.0,1986,0.4,1979-1988
376,376,Kevin Loughery,WAS,2,15,82,42,40,95,49,46,1069,501,568,0.469,3.0,0.0,3.0,8.0,2.0,6.0,51.0,25.0,26.0,1986,0.0,1979-1988
377,377,Lenny Wilkens,ATL,7,27,82,28,54,542,310,232,2160,1179,981,0.546,,,,47.0,17.0,30.0,157.0,72.0,85.0,1999,,1998-2008
379,379,Paul Silas,NOP,2,5,82,49,33,117,71,46,363,149,214,0.41,4.0,1.0,3.0,4.0,1.0,3.0,4.0,1.0,3.0,1999,0.25,1998-2008
381,381,Randy Wittman,CLE,1,1,82,32,50,82,32,50,82,32,50,0.39,,,,,,,,,,1999,,1998-2008
382,382,Don Nelson,DAL,3,22,82,40,42,198,75,123,1678,926,752,0.552,,,,,,,112.0,51.0,61.0,1999,,1998-2008
384,384,Alvin Gentry,DET,3,4,58,28,30,145,73,72,181,88,93,0.486,,,,5.0,2.0,3.0,5.0,2.0,3.0,1999,,1998-2008
386,386,P.J. Carlesimo,GSW,3,6,27,6,21,159,46,113,405,183,222,0.452,,,,,,,12.0,3.0,9.0,1999,,1998-2008
388,388,Rudy Tomjanovich,HOU,9,9,82,34,48,654,387,267,654,387,267,0.5920000000000001,,,,90.0,51.0,39.0,90.0,51.0,39.0,1999,,1998-2008
390,390,Chris Ford,LAC,2,9,45,11,34,95,20,75,669,311,358,0.465,,,,,,,29.0,13.0,16.0,1999,,1998-2008
392,392,Phil Jackson,LAL,1,10,82,67,15,82,67,15,820,612,208,0.746,23.0,15.0,8.0,23.0,15.0,8.0,175.0,126.0,49.0,1999,0.6521739130434783,1998-2008
393,393,Pat Riley,MIA,5,18,82,52,30,378,243,135,1433,999,434,0.6970000000000001,10.0,6.0,4.0,40.0,18.0,22.0,252.0,155.0,97.0,1999,0.6,1998-2008
394,394,George Karl,MIL,2,13,82,42,40,132,70,62,961,573,388,0.596,5.0,2.0,3.0,8.0,2.0,6.0,102.0,47.0,55.0,1999,0.4,1998-2008
395,395,Flip Saunders,MIN,5,5,82,50,32,358,180,178,358,180,178,0.503,4.0,1.0,3.0,16.0,4.0,12.0,16.0,4.0,12.0,1999,0.25,1998-2008
397,397,Jeff Van Gundy,NYK,5,5,82,50,32,319,190,129,319,190,129,0.596,16.0,9.0,7.0,64.0,35.0,29.0,64.0,35.0,29.0,1999,0.5625,1998-2008
398,398,Doc Rivers,ORL,1,1,82,41,41,82,41,41,82,41,41,0.5,,,,,,,,,,1999,,1998-2008
399,399,Larry Brown,PHI,3,21,82,49,33,214,108,106,1654,961,693,0.581,10.0,5.0,5.0,18.0,8.0,10.0,143.0,69.0,74.0,1999,0.5,1998-2008
401,401,Scott Skiles,PHO,1,1,62,40,22,62,40,22,62,40,22,0.645,9.0,4.0,5.0,9.0,4.0,5.0,9.0,4.0,5.0,1999,0.4444444444444444,1998-2008
402,402,Mike Dunleavy,POR,3,9,82,59,23,214,140,74,706,348,358,0.493,16.0,10.0,6.0,33.0,18.0,15.0,56.0,31.0,25.0,1999,0.625,1998-2008
403,403,Rick Adelman,SAC,2,10,82,44,38,132,71,61,741,428,313,0.578,5.0,2.0,3.0,10.0,4.0,6.0,79.0,40.0,39.0,1999,0.4,1998-2008
404,404,Gregg Popovich,SAS,4,4,82,53,29,278,163,115,278,163,115,0.586,4.0,1.0,3.0,30.0,20.0,10.0,30.0,20.0,10.0,1999,0.25,1998-2008
405,405,Paul Westphal,OKC,2,6,82,45,37,132,70,62,411,261,150,0.635,5.0,2.0,3.0,5.0,2.0,3.0,49.0,27.0,22.0,1999,0.4,1998-2008
407,407,Jerry Sloan,UTA,12,15,82,55,27,935,637,298,1150,731,419,0.636,10.0,4.0,6.0,138.0,72.0,66.0,144.0,74.0,70.0,1999,0.4,1998-2008
