,Unnamed: 0,Coach,Team,numSznsWTeam,numTotSzns,curr_games,curr_wins,curr_losses,franch_games,franch_wins,franch_losses,tot_games,tot_wins,tot_losses,win_percent,curr_pl_games,curr_pl_wins,curr_pl_losses,franch_pl_games,franch_pl_wins,franch_pl_losses,tot_pl_games,tot_pl_wins,tot_pl_losses,Season,pl_win_percent,Seasons
1663,1663,Jerry Sloan,UTA,14,17,82,44,38,1099,734,365,1314,828,486,0.63,4.0,1.0,3.0,147.0,75.0,72.0,153.0,77.0,76.0,2001,0.25,1998-2008
1664,1664,Doug Collins,WAS,1,7,82,37,45,82,37,45,537,295,242,0.5489999999999999,,,,,,,38.0,15.0,23.0,2001,,1998-2008
1665,1665,Mike Fratello,ATL,4,4,82,50,32,249,124,125,249,124,125,0.498,9.0,4.0,5.0,14.0,6.0,8.0,14.0,6.0,8.0,1985,0.4444444444444444,1979-1988
1666,1666,K.C. Jones,BOS,3,7,82,67,15,246,192,54,576,377,199,0.655,18.0,15.0,3.0,62.0,43.0,19.0,97.0,57.0,40.0,1985,0.8333333333333334,1979-1988
1668,1668,George Karl,CLE,2,2,67,25,42,149,61,88,149,61,88,0.409,,,,4.0,1.0,3.0,4.0,1.0,3.0,1985,,1979-1988
1670,1670,Dick Motta,DAL,6,18,82,44,38,492,212,280,1476,753,723,0.51,10.0,5.0,5.0,24.0,10.0,14.0,122.0,55.0,67.0,1985,0.5,1979-1988
1671,1671,Doug Moe,DEN,6,10,82,47,35,461,254,207,773,431,342,0.5579999999999999,10.0,5.0,5.0,41.0,19.0,22.0,63.0,28.0,35.0,1985,0.5,1979-1988
1672,1672,Chuck Daly,DET,3,4,82,46,36,246,141,105,287,150,137,0.523,4.0,1.0,3.0,18.0,8.0,10.0,18.0,8.0,10.0,1985,0.25,1979-1988
1674,1674,Bill Fitch,HOU,3,16,82,51,31,246,128,118,1312,674,638,0.514,20.0,13.0,7.0,25.0,15.0,10.0,88.0,48.0,40.0,1985,0.65,1979-1988
1676,1676,Don Chaney,LAC,2,2,82,32,50,103,41,62,103,41,62,0.398,,,,,,,,,,1985,,1979-1988
1677,1677,Pat Riley,LAL,5,5,82,62,20,399,286,113,399,286,113,0.7170000000000001,14.0,8.0,6.0,83.0,57.0,26.0,83.0,57.0,26.0,1985,0.5714285714285714,1979-1988
1678,1678,Don Nelson,MIL,10,10,82,57,25,802,490,312,802,490,312,0.611,14.0,7.0,7.0,76.0,36.0,40.0,76.0,36.0,40.0,1985,0.5,1979-1988
1680,1680,Hubie Brown,NYK,4,11,82,23,59,328,138,190,903,441,462,0.488,,,,18.0,8.0,10.0,59.0,31.0,28.0,1985,,1979-1988
1682,1682,John MacLeod,PHO,13,13,82,32,50,1066,557,509,1066,557,509,0.523,,,,81.0,37.0,44.0,81.0,37.0,44.0,1985,,1979-1988
1683,1683,Jack Ramsay,POR,10,18,82,40,42,820,453,367,1476,785,691,0.532,4.0,1.0,3.0,59.0,29.0,30.0,98.0,43.0,55.0,1985,0.25,1979-1988
1684,1684,Phil Johnson,SAC,7,8,82,37,45,496,222,274,497,222,275,0.447,3.0,0.0,3.0,9.0,2.0,7.0,9.0,2.0,7.0,1985,0.0,1979-1988
1685,1685,Cotton Fitzsimmons,SAS,2,15,82,35,47,164,76,88,1222,588,634,0.481,3.0,0.0,3.0,8.0,2.0,6.0,40.0,13.0,27.0,1985,0.0,1979-1988
1686,1686,Bernie Bickerstaff,OKC,1,1,82,31,51,82,31,51,82,31,51,0.378,,,,,,,,,,1985,,1979-1988
1687,1687,Frank Layden,UTA,5,5,82,42,40,390,175,215,390,175,215,0.449,4.0,1.0,3.0,25.0,10.0,15.0,25.0,10.0,15.0,1985,0.25,1979-1988
1688,1688,Gene Shue,WAS,13,20,69,32,37,1027,522,505,1525,757,768,0.496,,,,55.0,19.0,36.0,77.0,30.0,47.0,1985,,1979-1988
1689,1689,Kevin Loughery,WAS,1,14,13,7,6,13,7,6,987,459,528,0.465,5.0,2.0,3.0,5.0,2.0,3.0,48.0,25.0,23.0,1985,0.4,1979-1988
