,Year,Status,Team,PTS,FG,FGA,FGP,TP,TPA,TPP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Finals_Games
0,1980,Champion,Lakers,109.5,45.0,92.0,48.913043478260896,0.0,0.666666666666667,0.0,19.5,24.0,81.25,17.1666666666667,34.1666666666667,51.3333333333333,26.6666666666667,9.16666666666667,6.16666666666667,20.0,24.5,4
2,1981,Champion,Celtics,96.5,40.1666666666667,85.3333333333333,47.0703125,0.5,2.8333333333333304,17.6470588235294,15.666666666666698,21.5,72.8682170542636,16.6666666666667,30.6666666666667,47.3333333333333,22.8333333333333,6.66666666666667,5.33333333333333,16.8333333333333,23.1666666666667,4
4,1982,Champion,Lakers,112.333333333333,45.5,91.8333333333333,49.546279491833,0.166666666666667,1.5,11.1111111111111,21.1666666666667,31.5,67.1957671957672,18.3333333333333,29.0,47.3333333333333,31.3333333333333,10.6666666666667,7.0,19.3333333333333,25.5,4
6,1983,Champion,Sixers,110.5,43.0,88.5,48.5875706214689,0.0,0.75,0.0,24.5,34.5,71.0144927536232,18.0,30.0,48.0,26.0,11.0,8.0,17.0,22.25,4
8,1984,Champion,Celtics,116.0,42.0,92.8571428571429,45.230769230769205,1.28571428571429,3.28571428571429,39.1304347826087,30.714285714285698,38.5714285714286,79.62962962962959,17.428571428571402,30.0,47.428571428571395,24.142857142857103,9.85714285714286,4.57142857142857,15.857142857142902,28.142857142857103,4
10,1985,Champion,Lakers,115.833333333333,46.3333333333333,90.5,51.19705340699821,1.33333333333333,3.8333333333333304,34.7826086956522,21.8333333333333,29.6666666666667,73.59550561797751,11.0,31.6666666666667,42.6666666666667,32.0,9.16666666666667,4.0,12.5,25.3333333333333,4
12,1986,Champion,Celtics,107.666666666667,43.6666666666667,88.8333333333333,49.155722326454,1.6666666666666698,5.33333333333333,31.25,18.6666666666667,23.0,81.15942028985509,15.0,30.1666666666667,45.1666666666667,28.0,9.83333333333333,7.16666666666667,15.833333333333302,21.0,4
14,1987,Champion,Lakers,115.166666666667,46.6666666666667,90.6666666666667,51.4705882352941,2.6666666666666696,6.83333333333333,39.024390243902396,19.1666666666667,25.8333333333333,74.1935483870968,12.833333333333302,27.5,40.3333333333333,26.6666666666667,8.0,5.83333333333333,11.166666666666698,23.8333333333333,4
16,1988,Champion,Lakers,98.7142857142857,35.4285714285714,75.8571428571429,46.7043314500942,1.42857142857143,5.71428571428571,25.0,26.428571428571402,35.2857142857143,74.89878542510121,10.2857142857143,27.285714285714302,37.5714285714286,23.714285714285698,5.857142857142861,3.0,13.142857142857098,22.0,4
18,1989,Champion,Pistons,109.0,41.75,79.25,52.68138801261829,1.25,5.0,25.0,24.25,31.25,77.6,11.25,28.75,40.0,24.25,4.0,5.25,11.25,28.75,4
20,1990,Champion,Pistons,107.0,39.4,86.8,45.391705069124406,5.0,11.2,44.6428571428571,23.2,31.4,73.8853503184713,14.4,29.0,43.4,18.8,5.6,5.0,15.0,27.6,4
22,1991,Champion,Bulls,101.4,42.6,80.8,52.722772277227705,1.0,4.2,23.809523809523803,15.2,18.4,82.6086956521739,11.0,28.2,39.2,27.8,9.8,5.0,12.6,21.4,4
24,1992,Champion,Bulls,104.0,40.1666666666667,79.6666666666667,50.418410041841,4.16666666666667,10.833333333333302,38.4615384615385,19.5,27.1666666666667,71.7791411042945,10.1666666666667,27.3333333333333,37.5,26.8333333333333,7.0,5.16666666666667,15.0,25.8333333333333,4
26,1993,Champion,Bulls,106.666666666667,43.8333333333333,90.6666666666667,48.3455882352941,5.33333333333333,11.5,46.3768115942029,13.666666666666698,21.6666666666667,63.0769230769231,14.333333333333302,28.8333333333333,43.1666666666667,26.8333333333333,8.0,5.33333333333333,11.833333333333302,23.5,4
28,1994,Champion,Rockets,86.1428571428571,31.857142857142897,74.71428571428571,42.638623326959895,5.28571428571429,17.2857142857143,30.578512396694197,17.1428571428571,22.714285714285698,75.47169811320751,10.5714285714286,29.428571428571402,40.0,20.8571428571429,7.142857142857139,5.14285714285714,15.4285714285714,21.2857142857143,4
30,1995,Champion,Rockets,114.0,40.5,85.75,47.2303206997085,9.25,23.0,40.2173913043478,23.75,30.75,77.2357723577236,11.0,32.25,43.25,26.25,10.0,5.0,9.75,20.75,4
